name,brand,category,subcategory,gender,price,currency,color,material,sizes,description,product_url,photo_url
"Jeans ""Archive Camo"" Сamouflage","Brûler","bottoms","Джинсы","unisex","14990","RUB","","","XS,S,M,L,XL,XXL","""Archive Camo"" — джинсы свободного кроя из 100% хлопкового денима. Модель выполнена в классической пятикарманной конструкции: два передних втачных кармана, один маленький «монетный» и два накладных сзади. Пояс со шлевками для ремня обеспечивает удобную посадку. Камуфляжный рисунок придаёт изделию характер. Дизайн и детали: 100% хлопок, плотность — 380 г/м², прочный, долговечный деним. Оверсайз крой, пятикарманная конструкция. Камуфляжный принт, пояс со шлевками для ремня. Как носить: С худи “Ombre Brûlée” и белым лонгсливом под низ — многослойный тёплый образ с акцентом на фактуру. С зип-худи “1990” и массивными кроссовками — винтажный вайб с грубым силуэтом. С чёрной базовой футболкой и кожаной курткой “Cas” — контраст дерзости и минимализма. С футболкой “Fûck la modernité” Graphite поверх лонгслива — расслабленный, тёплый городской образ. Модель: Вито Рост: 181 Вес: 72 кг На Вито размер L Модель: Арина Рост: 172 Вес: 52 На Арине размер S","https://bruler.ru/jeans/jeansarchivecamocamouflage","https://bruler.ru/storage/products/Gt1z9CD3XWGX8gPmcl53jqQMeo4Aj1ZLxWC74Oee.jpg"
"Jeans ""Archive Camo"" Сamouflage Grey","Brûler","bottoms","Джинсы","unisex","14990","RUB","Серый","","XS,S,M,L,XL,XXL","Archive Camo — джинсы свободного кроя из 100% хлопкового денима. Модель выполнена в классической пятикарманной конструкции: два передних втачных кармана, один маленький «монетный» и два накладных сзади. Пояс со шлевками для ремня обеспечивает удобную посадку. Камуфляжный рисунок придаёт изделию характер. Дизайн и детали: 100% хлопок, плотность — 380 г/м², прочный, долговечный деним. Оверсайз крой, пятикарманная конструкция. Камуфляжный принт, пояс со шлевками для ремня. Как носить: С худи “Ombre Brûlée” и белым лонгсливом под низ — многослойный тёплый образ с акцентом на фактуру. С зип-худи “1990” и массивными кроссовками — винтажный вайб с грубым силуэтом. С чёрной базовой футболкой и кожаной курткой “Cas” — контраст дерзости и минимализма. С футболкой “Fûck la modernité” Graphite поверх лонгслива — расслабленный, тёплый городской образ.","https://bruler.ru/jeans/jeansarchivecamosamouflagegrey","https://bruler.ru/storage/products/flHjdqavjG5B1YtNtF7BeZ3oSuNN0FUqnNm6Qlj7.png"
"Hoodie “Nuage rose” Pink garment wash","Brûler","tops","Худи","unisex","15990","RUB","Розовый","премиального хлопка","XS,S,M,L,XL","“Nuage rose” — оверсайз худи из премиального хлопка с обработкой garment washing. Свободный крой и капюшон создают ощущение уюта, а приглушенный розовый оттенок и лаконичный логотип на груди добавляют характер изделию. Дизайн и детали: 100% хлопок, плотность — 480 г/м², дышащий, приятный к телу. Свободный крой, спущенная линия плеча. Розовый garment washing, логотип на груди. Как носить: С меланжевыми брюками и минималистичными кроссовками — повседневный образ. Под бомбер или кожанку — для многослойности и акцента на цвет худи. С широкими джинсами и кедами — спокойный минималистичный силуэт. С камуфляжными джинсами ""Archive Camo"" и лёгкой курткой сверху — для прохладной погоды и простой многослойности. Модель: Вито Рост: 181 Вес: 72 кг На Вито размер L Модель: Арина Рост: 172 Вес: 52 На Арине размер S","https://bruler.ru/hoodies/hoodienuagerose","https://bruler.ru/storage/products/6IDJd7Qy6UGd1q28NWaQyDvsIwxtUpMV18CPojOJ.jpg"
"Jeans ""Logo de base 02” Blue","Brûler","bottoms","Джинсы","unisex","12990","RUB","Синий","","XS,S,M,L,XL,XXL","Jeans ""Logo de base 02"" — голубые оверсайз джинсы из 100% хлопка с эффектом garment washing. Прямой оверсайз силуэт и минималистичный дизайн делают джинсы универсальной базой для повседневного гардероба. Сзади джинсы дополнены жакрон-патчем с выдавленным логотипом бренда. Дизайн и детали: 100% хлопок, плотность 425 г/м² — прочный и износостойкий деним. Оверсайз крой, прямой силуэт. Голубой цвет с эффектом garment washing. Классическая конструкция с пятью карманами. Жакрон из искусственной кожи сзади. Как носить: С рубашкой “Downtown 98” и кедами — спокойный городской лук с акцентом на фактуру и слои. С худи или футболкой из коллекции essentielle — для цельного, монохромного образа. C пиджаком и кепкой — для расслабленного микса классики и спорта. С лонгсливом и бомбером — для многослойности в межсезонье.","https://bruler.ru/jeans/jeanslogodebaseblue","https://bruler.ru/storage/products/blLpVMbvZR53mwLjJKsHSQTB5jatDTaOzE8kyHa1.png"
"Bomber ""Beurré"" black","Brûler","outerwear","Верхняя одежда","unisex","22490","RUB","Чёрный","","S,M,L,XL,XXL","Тёплый двусторонний бомбер с оверсайз-посадкой, объёмными рукавами и капюшоном. Носится двумя способами: сторона из хлопка с вафельным эффектом «dirty wash» и вышивкой логотипа на груди, либо нейлоновая сторона с вышивкой логотипа на груди. Оверсайз фит, объёмные рукава; застёжка-молния. Двусторонний: Сторона A — 100% хлопок, вафельная фактура с эффектом «dirty wash», вышивка логотипа на груди. Сторона B — 100% нейлон, вышивка логотипа на груди, карманы с клапанами. Подкладка: 100% хлопок. Утеплитель: 100% полиэстер — лёгкий и тёплый. Цвет: чёрный dirty wash Как носить: С oversize джинсами, базовым худи и кроссовками — для базового образа на каждый день. С брюками карго, лонгсливом и грубыми ботинками — для непогоды. С прямыми джинсами, футболкой, зип-худи и кедами — для многослойного образа. Модель: Петя Рост: 175 Вес: 75 На Пете размер S Модель: Алиса Рост: 173 Вес: 53 На Алисе размер S","https://bruler.ru/verxniaia-odezda/bomberbeurreblack","https://bruler.ru/storage/products/R0lmfYy9kZikCPDJJQ0whZBmaIHE0E2mqyLtJW8o.jpg"
"Bomber ""Beurré"" graphite gray","Brûler","outerwear","Верхняя одежда","unisex","22490","RUB","Серый","","XS,S,M,L,XL","""Beurré"" — демисезонный двусторонний бомбер с оверсайз-посадкой, объёмными рукавами и капюшоном. Носится двумя способами: нейлоновая сторона с контрастной «dirty wash», либо хлопковый вельвет с аккуратной вышивкой. Графитовый garment washing делает оттенок глубоким и фактурным. Комфортно от +5°C до +15°C. Дизайн и детали: Оверсайз фит, объёмные рукава; застёжка-молния. Двусторонний: Сторона A — 100% нейлон, контрастная «грязная» варка. Сторона B — хлопковый вельвет, дополнена вышивкой логотипа. Подкладка: 100% хлопок. Утеплитель: 100% полиэстер — лёгкий и тёплый. Цвет: графитовый/грязно-серый (garment washing + dirty wash). Как носить: С oversize джинсами, базовым худи и высокими кроссовками — для базового образа на каждый день. С брюками карго, лонгсливом и грубыми ботинками — для непогоды. С прямыми джинсами, футболкой, зип-худи и кедами — для многослойного образа. Модель: Петя Рост: 175 Вес: 75 На Пете размер S Модель: Алиса Рост: 173 Вес: 53 На Алисе размер XS","https://bruler.ru/verxniaia-odezda/bomberbeurregraphitegray","https://bruler.ru/storage/products/t9YKOq7KW6HthSMfkoCf4oWOzADr6spFoXR9fSMJ.jpg"
"Longsleeve “L’Oiseau” milky","Brûler","tops","Футболки","unisex","8990","RUB","Молочный","","XS,S,M,L,XL","“L’Oiseau” — оверсайз лонгслив из 100% хлопка молочного цвета. На груди — принт птицы, выполненный в виде наброска и дополненный вышивкой, отсылает к процессу, спонтанности и идее незавершённого жеста как части творчества. Дизайн и детали: 100% хлопок, плотность 300 г/м² — дышащий, приятный к телу материал. Оверсайз крой со спущенной линией плеча. Молочный цвет. Принт и вышивка на груди. Как носить: С прямыми джинсами “Attache” и кедами — базовый городской образ. Под ветровку “Fragments d’étoiles” — многослойный образ для прохладной погоды. С прямыми брюками из коллекции Essentielle — лонгслив выступает как акцент в образе. Модель: Петя Рост: 175 Вес: 75 На Пете размер S Модель: Алиса Рост: 173 Вес: 53 На Алисе размер XS","https://bruler.ru/t-shirts/longsleeveloiseaumilky","https://bruler.ru/storage/products/600ITW3JAb5Mq8FDs1i1ViLRUYn3AUvLF2vMNqXt.jpg"
"Longsleeve “L’Oiseau” brown","Brûler","tops","Футболки","unisex","8990","RUB","Коричневый","","XS,S,M,L,XL","“L’Oiseau” — оверсайз лонгслив из 100% хлопка коричневого цвета. На груди — принт птицы, выполненный в виде наброска и дополненный вышивкой, отсылает к процессу, спонтанности и идее незавершённого жеста как части творчества. Дизайн и детали: 100% хлопок, плотность 300 г/м² — дышащий, приятный к телу материал. Оверсайз крой со спущенной линией плеча. Коричневый цвет. Принт и вышивка на груди. Как носить: С прямыми джинсами “Attache” и кедами — базовый городской образ. Под ветровку “Fragments d’étoiles” — многослойный образ для прохладной погоды. С прямыми брюками из коллекции Essentielle — лонгслив выступает как акцент в образе. Модель: Петя Рост: 175 Вес: 75 На Пете размер S Модель: Алиса Рост: 173 Вес: 53 На Алисе размер XS","https://bruler.ru/t-shirts/longsleeveloiseaubrown","https://bruler.ru/storage/products/J07H1oKd7fPOFkbNOjeBSMKB3YrLRWMcD4hVB2z9.jpg"
"Cardigan “Travail tard” black","Brûler","tops","Свитера","unisex","11590","RUB","Чёрный","смесовой пряжи","XS,S,M,L,XL","“Travail tard” — оверсайз кардиган чёрного цвета из смесовой пряжи. Плотная вязка хорошо держит форму и подходит для прохладной погоды. Воротник-стойка подчёркивает форму изделия, а декоративная вышивка Brûler d'Amour на груди служит аккуратным акцентом. Дизайн и детали: Пряжа: 45% нейлон, 30% полиэстер, 15% акрил, 10% шерсть — тёплая и износостойкая. Оверсайз крой. Воротник-стойка. Чёрный цвет, декоративная вышивка логотипа на груди. Как носить: С прямыми классическими брюками и лоферами — универсальный повседневный образ. С джинсами “Attache” и минималистичными кроссовками — городской повседневный вариант. Поверх базовой футболки или лонгслива — как дополнительный слой для прохладной погоды. Модель: Петя Рост: 175 Вес: 75 На Пете размер L Модель: Алиса Рост: 173 Вес: 53 На Алисе размер L","https://bruler.ru/sweaters/cardigantravailtardblack","https://bruler.ru/storage/products/PIShp1btbGIIIxbrnT2Xkq0x5WB03UmGA4AcptGI.jpg"
"Cardigan “Travail tard” violet","Brûler","tops","Свитера","unisex","11590","RUB","Фиолетовый","смесовой пряжи","XS,S,M,L,XL","“Travail tard” — оверсайз кардиган фиолетового цвета из смесовой пряжи. Плотная вязка хорошо держит форму и подходит для прохладной погоды. Воротник-стойка подчёркивает форму изделия, а декоративная вышивка Brûler d'Amour на груди служит аккуратным акцентом. Дизайн и детали: Пряжа: 45% нейлон, 30% полиэстер, 15% акрил, 10% шерсть — тёплая и износостойкая. Оверсайз крой. Воротник-стойка. Фиолетовый цвет, декоративная вышивка логотипа на груди. Как носить: С прямыми классическими брюками и лоферами — универсальный повседневный образ. С джинсами “Attache” и минималистичными кроссовками — городской повседневный вариант. Поверх базовой футболки или лонгслива — как дополнительный слой для прохладной погоды.","https://bruler.ru/sweaters/cardigantravailtardviolet","https://bruler.ru/storage/products/vjgJuhSumukcBKpit2QIZxxcU2AF5p305qgkPwNo.png"
