name,brand,category,subcategory,gender,price,currency,color,material,sizes,description,product_url,photo_url
"Юбка Gwen молочная","Mon Sheri","bottoms","Trikotazhnye Yubki Shorty","female","0","RUB","Молочный","35% акрил, 23% нейлон, 40% полиэстер, 2% пайетки","one-size","Юбка Gwen молочная — универсальная юбка в светлом оттенке. Хорошо комбинируется с разным верхом и подойдёт как на каждый день, так и для выходов.","https://monsheri.ru/katalog/yubki-shorty/trikotazhnye-yubki-shorty/yubka-gwen-molochnaya/","https://monsheri.ru/wp-content/uploads/2026/04/7.jpg"
"Рубашка Gwen молочная","Mon Sheri","tops","Pritalennye Rubashki","female","0","RUB","molochnaya","35% акрил, 23% нейлон, 40% полиэстер, 2% пайетки","one-size","Рубашка Gwen молочная — светлая модель, которая легко сочетается с юбками, брюками и джинсами. Подойдёт для различных случаев: как на каждый день, так и для вечерних мероприятий.","https://monsheri.ru/katalog/rubashki/pritalennye-rubashki/rubashka-gwen-molochnaya/","https://monsheri.ru/wp-content/uploads/2026/04/1-1.jpg"
"Платье Adriana молочное","Mon Sheri","dresses","Maksi","female","0","RUB","molochnoe","96% полиэстр, 4% эластан","m, s, xs","Платье Adriana молочное — нежное платье, которое подойдёт для особых случаев и повседневных выходов. Легко дополнить обувью и аксессуарами под настроение.","https://monsheri.ru/katalog/platya/maksi/plate-adriana-molochnoe/","https://monsheri.ru/wp-content/uploads/2026/04/4.jpg"
"Юбка Elizi клетка","Mon Sheri","bottoms","Mini Yubki Shorty","female","0","RUB","Молочный","40% вискоза, 30% шерсть, 30% полиэстер","m, s, xs","Юбка Elizi клетка — модель в клетку, которая добавляет образу акцент. Хорошо смотрится с базовыми топами, рубашками и жакетами.","https://monsheri.ru/katalog/yubki-shorty/mini-yubki-shorty/yubka-elizi-kletka/","https://monsheri.ru/wp-content/uploads/2026/03/10.jpg"
"Жакет Elizi клетка","Mon Sheri","tops","Tvidovye","female","0","RUB","Молочный","40% вискоза, 30% шерсть, 30% полиэстер","m, s, xs","Жакет Elizi клетка — стильный жакет, который можно носить как отдельную вещь или в комплекте с юбкой. Подходит для повседневной носки и выхода.","https://monsheri.ru/katalog/zhakety-zhilety/tvidovye/zhaket-elizi-kletka/","https://monsheri.ru/wp-content/uploads/2026/03/6-1.jpg"
"Лосины Lemon черные","Mon Sheri","bottoms","Legginsy","female","0","RUB","Черный","96% полиэстр, 4% эластан","m, s, xs","Лосины Lemon черные — удобная базовая модель на каждый день. Хорошо тянутся и подходят для разных сочетаний.","https://monsheri.ru/katalog/bryuki/legginsy/losiny-lemon-chernye/","https://monsheri.ru/wp-content/uploads/2026/03/0146.webp"
"Брюки Grace молочные","Mon Sheri","bottoms","Klassicheskie","female","0","RUB","Молочный","96% полиэстр, 4% эластан","m, s, xs","Брюки Grace молочные — базовые брюки в светлом оттенке. Легко сочетаются с любым верхом и подойдут для разных случаев.","https://monsheri.ru/katalog/bryuki/klassicheskie/bryuki-grace-molochnye/","https://monsheri.ru/wp-content/uploads/2026/03/0149.webp"
"Кардиган June шоколадный","Mon Sheri","tops","Kardigan June Shokoladnyj","female","0","RUB","Шоколадный","65% вискоза, 25% хлопок, 10% эластан","one-size","Кардиган June в насыщенном шоколадном оттенке. Хорошо сочетается с нейтральной одеждой.","https://monsheri.ru/katalog/svitery-kardigany/kardigan-june-shokoladnyj/","https://monsheri.ru/wp-content/uploads/2026/03/0142.webp"
"Кардиган June молочный","Mon Sheri","tops","Kardigan June Molochnyj","female","0","RUB","Молочный","65% вискоза, 25% хлопок, 10% эластан","one-size","Кардиган June молочный — мягкий кардиган на каждый день. Удобный и универсальный вариант для различных случаев.","https://monsheri.ru/katalog/svitery-kardigany/kardigan-june-molochnyj/","https://monsheri.ru/wp-content/uploads/2026/03/1-2.jpg"
"Кардиган June черный","Mon Sheri","tops","Kardigan June Chernyj","female","0","RUB","Черный","65% вискоза, 25% хлопок, 10% эластан","one-size","Кардиган June черный — практичная модель, которая подходит почти под любой образ. Удобно носить с базовыми вещами.","https://monsheri.ru/katalog/svitery-kardigany/kardigan-june-chernyj/","https://monsheri.ru/wp-content/uploads/2026/03/0133.webp"
"Юбка Ester черная","Mon Sheri","bottoms","Mini Yubki Shorty","female","0","RUB","Черный","63% полиэстер, 32% вискоза, 5% эластан","m, s, xs","Юбка Ester черная — универсальная модель на каждый день. Черный цвет легко сочетается с любым верхом, поэтому юбка подойдет как для повседневных, так и для вечерних образов.","https://monsheri.ru/katalog/yubki-shorty/mini-yubki-shorty/yubka-ester-chernaya/","https://monsheri.ru/wp-content/uploads/2026/03/0098.webp"
"Блуза Rozali молочная","Mon Sheri","tops","Pritalennye Rubashki","female","0","RUB","Молочный","100% вискоза","m, s, xs","Блуза Rozali молочная — легкая и аккуратная модель в светлом оттенке. Освежает образ и хорошо сочетается как с классическими вещами, так и с более простыми вариантами на каждый день.","https://monsheri.ru/katalog/rubashki/pritalennye-rubashki/bluza-rozali-molochnaya/","https://monsheri.ru/wp-content/uploads/2026/03/4-2.jpg"
"Платье Bill черное","Mon Sheri","dresses","Mini","female","0","RUB","Черный","60% вискоза; 30% нейлон; 10% эластан","m, s, xs","Платье Bill черное — базовая модель, которая легко адаптируется под разные случаи. Черный цвет делает его универсальным и всегда актуальным.","https://monsheri.ru/katalog/platya/mini/plate-bill-chernoe/","https://monsheri.ru/wp-content/uploads/2026/03/0118.webp"
"Платье Sera молочное","Mon Sheri","dresses","Maksi","female","0","RUB","Молочный","100% вискоза","m, s, xs","Платье Sera молочное — нежная модель в светлом оттенке. Подойдет для создания легких и женственных образов.","https://monsheri.ru/katalog/platya/maksi/plate-sera-molochnoe/","https://monsheri.ru/wp-content/uploads/2026/03/2-4.jpg"
"Платье Melissa","Mon Sheri","dresses","Maksi","female","0","RUB","Молочный","100% вискоза","m, s, xs","Платье Melissa — универсальное платье, которое подойдет для разных ситуаций. Его можно носить как каждый день, так и использовать в вечерних образах, дополняя аксессуарами.","https://monsheri.ru/katalog/platya/maksi/plate-melissa/","https://monsheri.ru/wp-content/uploads/2026/03/1-3.jpg"
"Комбинезон Morin черный","Mon Sheri","tops","Vechernie","female","0","RUB","Черный","96% полиэстр, 4% эластан","m, s, xs","Комбинезон Morin черный — удобная и универсальная модель. Черный цвет делает его практичным, а фасон позволяет использовать как в ежедневных образах, так и в вечерних.","https://monsheri.ru/katalog/kombinezony/vechernie/kombinezon-morin-chernyj/","https://monsheri.ru/wp-content/uploads/2026/03/0122.webp"
"Комбинезон Bagira черный","Mon Sheri","tops","Vechernie","female","0","RUB","Черный","96% полиэстр, 4% эластан","m, s, xs","Комбинезон Bagira черный — универсальная модель на каждый день и для выхода. Черный цвет делает его практичным и легко сочетаемым с разной обувью и аксессуарами.","https://monsheri.ru/katalog/kombinezony/vechernie/kombinezon-bagira-chernyj/","https://monsheri.ru/wp-content/uploads/2026/03/1.jpg"
"Жакет Sven оранжевый","Mon Sheri","tops","Tvidovye","female","0","RUB","Оранжевый","59% акрил, 40% шерсть, 1% люрекс","m, s, xs","Жакет Sven оранжевый — яркая модель, которая станет акцентом в образе. Отлично подойдет для тех, кто хочет добавить цвета и сделать образ более выразительным.","https://monsheri.ru/katalog/zhakety-zhilety/tvidovye/zhaket-sven-oranzhevyj/","https://monsheri.ru/wp-content/uploads/2026/03/4-1.jpg"
"Жакет Karry","Mon Sheri","tops","Tvidovye","female","0","RUB","Оранжевый","70% полиэстер, 26% вискоза, 4% эластан","m, s, xs","Жакет Karry — стильная модель, которая дополнит гардероб и подойдет для разных случаев. Легко комбинируется с брюками, юбками и платьями.","https://monsheri.ru/katalog/zhakety-zhilety/tvidovye/zhaket-karry/","https://monsheri.ru/wp-content/uploads/2026/03/7.jpg"
"Комбинезон Jade черный","Mon Sheri","tops","Bazovye","female","0","RUB","Черный","65% вискоза, 25% хлопок, 10% эластан","one-size","Комбинезон Jade черный — аккуратная модель, которая подчеркивает силуэт и остается удобной в носке. Подойдет для разных образов в зависимости от сочетаний.","https://monsheri.ru/katalog/kombinezony/bazovye/kombinezon-jade-chernyj/","https://monsheri.ru/wp-content/uploads/2026/03/0114.webp"
"Юбка Laure черная","Mon Sheri","bottoms","Mini Yubki Shorty","female","0","RUB","Черный","96% полиэстр, 4% эластан","m, s, xs","Юбка Laure черная — универсальная модель, которая легко впишется в любой гардероб. Черный цвет делает её практичной и удобной в сочетаниях, а лаконичный дизайн позволяет носить юбку как каждый день, так и на выход.","https://monsheri.ru/katalog/yubki-shorty/mini-yubki-shorty/yubka-laure-chernaya/","https://monsheri.ru/wp-content/uploads/2026/02/0096.webp"
"Брюки Grace черные","Mon Sheri","bottoms","Klassicheskie","female","0","RUB","Черный","96% полиэстр, 4% эластан","m, s, xs","Брюки Grace черные — базовая и универсальная модель, которая станет основой множества образов. Лаконичный крой аккуратно подчеркивает силуэт, а глубокий черный цвет делает брюки практичными и легко сочетаемыми с любым верхом — от строгих рубашек до женственных топов. Идеальный вариант для офиса, встреч или повседневных стильных образов.","https://monsheri.ru/katalog/bryuki/klassicheskie/bryuki-grace-chernye/","https://monsheri.ru/wp-content/uploads/2026/02/12.jpg"
"Жакет Emma молочный","Mon Sheri","tops","Pritalennye","female","0","RUB","Молочный","70% полиэстер, 26% вискоза, 4% эластан","l, m, s, xs","Жакет Emma молочный — аккуратная и стильная модель в светлом оттенке. Подойдет для создания как более строгих, так и повседневных образов, легко комбинируется с разной одеждой и добавляет образу свежести.","https://monsheri.ru/katalog/zhakety-zhilety/pritalennye/zhaket-emma-molochnyj/","https://monsheri.ru/wp-content/uploads/2026/02/0068.webp"
"Боди Kristi черное","Mon Sheri","tops","Bodi Topy Bodi","female","0","RUB","Черный","96% полиэстр, 4% эластан","m, s, xs","Боди Kristi черное — эффектная модель с аккуратной посадкой по фигуре. Эластичная ткань комфортно облегает силуэт, подчеркивая линии, а черный цвет добавляет образу глубины и выразительности. Боди отлично комбинируется с брюками, юбками и жакетами, создавая как повседневные, так и более вечерние образы.","https://monsheri.ru/katalog/topy-bodi/bodi-topy-bodi/bodi-kristi-chernoe/","https://monsheri.ru/wp-content/uploads/2026/02/2-4.jpg"
"Пальто Graf черное","Mon Sheri","outerwear","Palto Trenchi","female","0","RUB","Черный","100% шерсть","m-l, xs-s","Пальто Graf черного цвета — лаконичная и выразительная модель, которая легко вписывается в современный гардероб. Прямой крой формирует чёткий силуэт и обеспечивает комфортную посадку, а глубокий черный цвет делает образ более элегантным. Пальто хорошо сочетается как с классическими, так и с повседневными вещами, оставаясь универсальным решением для прохладной погоды. Идеальный вариант для тех, кто ценит стиль, практичность и уверенность в каждом образе.","https://monsheri.ru/katalog/verhnyaya-odezhda/palto-trenchi/palto-graf-chernoe/","https://monsheri.ru/wp-content/uploads/2026/02/6-1.jpg"
