name,brand,category,subcategory,gender,price,currency,color,material,sizes,description,product_url,photo_url
"Лукреция","Jully Bride","dresses","Свадебные платья","female","77000","RUB","Айвори","Кружево","40,42,44,46,48,50,52,54","Платье, в котором роскошь раскрывается в деталях. Полупрозрачный кружевной верх с высокой линией шеи и изящной геометрией корсета создаёт эффект тонкой архитектуры, а расшитая юбка мягко обтекает силуэт, добавляя образу глубину и мерцание при каждом движении. Деликатные цепочки и декор у линии талии становятся тем самым акцентом, который хочется рассматривать. Для невесты, которая выбирает не просто красоту, а впечатление, которое останется.","https://jullybride.ru/p/lukrecziya-2/","https://jullybride.ru/wp-content/uploads/2026/04/img_9329-scaled.jpeg"
"Муза кружево","Jully Bride","dresses","Свадебные платья","female","69000","RUB","Айвори","Кружево","40,42,44,46,48,50,52,54","Нежность, в которой есть характер. Мягкая линия открытых плеч и деликатное кружево создают образ, который хочется рассматривать ближе. Прозрачный корсет с тонкой проработкой подчёркивает фигуру, а фактурная ткань добавляет глубины и делает силуэт живым, не плоским. Юбка миди держит форму, сохраняя лёгкость движения — баланс между классикой и современной подачей. Это платье про ощущение себя — спокойное, уверенное, без лишнего напряжения. Для невесты, которая выбирает мягкую женственность, но с внутренней силой.","https://jullybride.ru/p/muza-kruzhevo/","https://jullybride.ru/wp-content/uploads/2026/04/img_9364-scaled.jpeg"
"Муза миди","Jully Bride","dresses","Свадебные платья","female","55000","RUB","Айвори","","40,42,44,46,48,50,52,54","Это лёгкость, в которой живёт элегантность. Открытая линия плеч создаёт мягкий, женственный акцент, а лаконичный корсет подчёркивает талию, формируя чистый и гармоничный силуэт. Гладкая ткань и выверенные линии делают платье универсальным: оно не перегружено деталями, но именно в этом его сила — в ощущении вкуса и меры. Это платье для невесты, которая выбирает лёгкость, свободу и естественную красоту — без лишнего.","https://jullybride.ru/p/muza-midi/","https://jullybride.ru/wp-content/uploads/2026/04/img_9360-scaled.jpeg"
"Бэтлин миди","Jully Bride","dresses","Свадебные платья","female","94400","RUB","Айвори","Атлас","40,42,44,46,48,50,52","Утонченная женственность с акцентом на силуэт. Драпированный корсет с мягким V-образным вырезом красиво подчёркивает линию декольте и создаёт изящную форму. Длинные рукава добавляют образу благородства, а аккуратная драпировка выстраивает гармоничный силуэт и акцентирует талию. Юбка длины миди мягко облегает фигуру, создавая стройный и женственный силуэт. Это платье для невесты, которая выбирает элегантность с характером — сдержанную, но по-настоящему притягательную.","https://jullybride.ru/p/betlin-midi-2/","https://jullybride.ru/wp-content/uploads/2026/04/img_9369-scaled.jpeg"
"Фанрис миди","Jully Bride","dresses","Свадебные платья","female","9900","RUB","Айвори","Атлас","40,42,44,46,48,50,52","Современная элегантность в её самой чистой форме. Лаконичный корсет с мягкой драпировкой деликатно подчёркивает линию плеч и создаёт утончённый силуэт. Спущенные плечи добавляют образу женственности, а точная посадка выстраивает красивую линию талии. Юбка длины миди мягко повторяет линии фигуры, создавая стройный, вытянутый силуэт. Это платье для невесты, которая выбирает современную классику — лёгкую, уверенную и по-настоящему стильную.","https://jullybride.ru/p/fanris-midi/","https://jullybride.ru/wp-content/uploads/2026/04/img_9372-scaled.jpeg"
"Лорейн","Jully Bride","dresses","Свадебные платья","female","69000","RUB","Айвори","","40,42,44,46,48,50,52,54","Платье, которое притягивает взгляд с первого мгновения. Архитектурный корсет с прозрачными вставками и ручной расшивкой выстраивает силуэт, словно скульптуру, мерцающая фактура юбки мягко отражает свет, создавая эффект сияния в каждом движении. Для невесты, которая не боится быть центром внимания и делает это безупречно.","https://jullybride.ru/p/lorejn/","https://jullybride.ru/wp-content/uploads/2026/03/img_9323-scaled.jpeg"
"Стелла","Jully Bride","dresses","Свадебные платья","female","95000","RUB","Айвори","Тафта","40,42,44,46,48,50,52","Платье, в котором классика звучит по-новому. Архитектурный корсет с деликатной вышивкой подчёркивает линию плеч и талии, а объёмная юбка с мягкой сборкой создаёт выразительный силуэт с эффектом высокой моды. Полупрозрачная кружевная юбка добавляет образу глубину и лёгкую провокацию, сохраняя при этом ощущение утончённой женственности. Для невесты, которая не боится быть разной: нежной и сильной, классической и смелой одновременно.","https://jullybride.ru/p/stella-3/","https://jullybride.ru/wp-content/uploads/2026/03/img_9335-scaled.jpeg"
"Мильяж","Jully Bride","dresses","Свадебные платья","female","94400","RUB","Айвори","","40,42,44,46,48,50,52,54","Легкость, в которой чувствуется настроение современной романтики. Корсет с мягкой драпировкой и открытой линией плеч деликатно подчёркивает силуэт и создаёт ощущение хрупкости и изящества. Объёмная юбка раскрывается от талии мягкими слоями, создавая воздушный силуэт и красивое движение при каждом шаге. Лёгкий шлейф завершает образ, добавляя ему романтичности и особого настроения. Для невесты, которая выбирает лёгкость, свободу и ту самую естественную красоту, которая выглядит непринуждённо и по-настоящему притягательно.","https://jullybride.ru/p/milyazh/","https://jullybride.ru/wp-content/uploads/2026/03/img_8416-scaled.jpeg"
"Аделаида","Jully Bride","dresses","Свадебные платья","female","65000","RUB","Айвори","Атлас, Кружево","40,42,44,46,48,50,52","Романтика с характером и нежность с внутренней силой. Мягко драпированный корсет подчёркивает линию плеч и аккуратно формирует талию, создавая изящный и вытянутый силуэт. Полупрозрачные кружевные рукава добавляют образу лёгкости, а тонкая кружевная вставка в разрезе придаёт глубину и едва уловимую чувственность. Объёмная юбка раскрывается плавно и величественно, переходя в длинный шлейф, который красиво ложится в движении. Для невесты, которая хочет соединить классику, нежность и лёгкую дерзость.","https://jullybride.ru/p/adelaida/","https://jullybride.ru/wp-content/uploads/2026/03/img_7657-scaled.jpeg"
"Алайя","Jully Bride","dresses","Свадебные платья","female","39000","RUB","Айвори","","40,42,44,46,48,50,52,54","Алайя — это лёгкость, доведённая до совершенства. Плиссированный корсет мягко подчёркивает линию декольте и аккуратно формирует талию, создавая вытянутый, собранный силуэт. Вертикальные складки работают как архитектура — они визуально стройнят и добавляют образу глубины без лишнего декора. Ничего лишнего — только чистая форма и ощущение абсолютной гармонии. Для невесты, которая выбирает спокойную элегантность.","https://jullybride.ru/p/alajya-2/","https://jullybride.ru/wp-content/uploads/2026/03/img_7660.jpeg"
